date,day_of_week,high_hour,low_hour,p1_hour,p1_type,p2_hour,p2_type,daily_high,daily_low,open_price,close_price,day_return
2022-09-13,1,12,23,12,high,23,low,1760.51,1560.54,1716.37,1574.4,-0.08271526535653723
2022-09-14,2,23,0,0,low,23,high,1647.01,1552.38,1574.4,1638.39,0.040644054878048785
2022-09-15,3,0,15,0,high,15,low,1655.2,1458.0,1638.4,1472.75,-0.10110473632812506
2022-09-16,4,1,17,1,high,17,low,1483.35,1405.52,1472.76,1433.9,-0.026385833401232992
2022-09-17,5,18,12,12,low,18,high,1476.13,1409.12,1433.9,1468.83,0.02436013669014564
2022-09-18,6,0,21,0,high,21,low,1469.63,1325.55,1468.82,1334.51,-0.09144074835582301
2022-09-19,0,21,6,6,low,21,high,1393.35,1280.0,1334.51,1375.98,0.03107507624521362
2022-09-20,1,0,22,0,high,22,low,1384.78,1312.71,1375.98,1322.93,-0.03855433945260829
2022-09-21,2,18,22,18,high,22,low,1408.9,1220.0,1322.94,1245.78,-0.058324640573268687
2022-09-22,3,23,0,0,low,23,high,1350.08,1237.32,1245.79,1326.46,0.06475409178111886
2022-09-23,4,4,14,4,high,14,low,1360.0,1262.15,1326.47,1327.25,0.0005880268683045773
2022-09-24,5,14,22,14,high,22,low,1349.33,1306.52,1327.24,1317.13,-0.007617311111780763
2022-09-25,6,7,22,7,high,22,low,1337.0,1269.27,1317.13,1294.63,-0.017082596250939542
2022-09-26,0,19,6,6,low,19,high,1340.42,1277.85,1294.62,1336.17,0.03209435973490305
2022-09-27,1,12,18,12,high,18,low,1400.0,1303.75,1336.17,1328.02,-0.006099523264255365
2022-09-28,2,21,10,10,low,21,high,1355.7,1253.2,1328.01,1337.2,0.0069201286134893975
2022-09-29,3,1,14,1,high,14,low,1352.02,1288.52,1337.2,1335.7,-0.001121746933891714
2022-09-30,4,15,12,12,low,15,high,1373.19,1313.35,1335.69,1328.72,-0.005218276695939946
2022-10-01,5,0,20,0,high,20,low,1333.69,1302.68,1328.71,1311.79,-0.012734155684837227
2022-10-02,6,6,23,6,high,23,low,1317.93,1270.0,1311.79,1276.72,-0.02673446207091069
2022-10-03,0,18,0,0,low,18,high,1329.9,1263.04,1276.72,1323.09,0.03631963155586181
2022-10-04,1,20,2,2,low,20,high,1369.55,1318.66,1323.1,1361.49,0.029015191595495506
2022-10-05,2,19,13,13,low,19,high,1364.77,1316.29,1361.5,1352.2,-0.006830701432243815
2022-10-06,3,2,22,2,high,22,low,1383.99,1345.01,1352.2,1352.06,-0.00010353498003261355
2022-10-07,4,0,18,0,high,18,low,1361.75,1317.26,1352.07,1331.1,-0.01550955202023566
2022-10-08,5,0,22,0,high,22,low,1337.35,1303.51,1331.1,1315.48,-0.01173465554804289
2022-10-09,6,12,2,2,low,12,high,1329.0,1307.26,1315.48,1323.13,0.005815367774500631
2022-10-10,0,1,22,1,high,22,low,1338.0,1288.0,1323.13,1290.03,-0.025016438294045283
2022-10-11,1,16,0,0,low,16,high,1298.0,1267.01,1290.03,1280.11,-0.007689743649372552
2022-10-12,2,9,0,0,low,9,high,1306.87,1275.25,1280.11,1294.44,0.011194350485505274
2022-10-13,3,20,12,12,low,20,high,1301.58,1190.0,1294.44,1287.08,-0.005685856432125187
2022-10-14,4,12,0,0,low,12,high,1343.12,1283.39,1287.08,1296.27,0.007140193305777461
2022-10-15,5,3,23,3,high,23,low,1301.69,1263.64,1296.26,1274.92,-0.016462746671192446
2022-10-16,6,20,0,0,low,20,high,1315.35,1274.67,1274.93,1305.95,0.024330747570454832
2022-10-17,0,22,3,3,low,22,high,1338.57,1295.64,1305.96,1331.4,0.019479922815400206
2022-10-18,1,0,19,0,high,19,low,1341.73,1286.72,1331.39,1310.71,-0.015532638821081773
2022-10-19,2,0,23,0,high,23,low,1313.5,1280.31,1310.71,1285.09,-0.019546657918227614
2022-10-20,3,14,0,0,low,14,high,1310.87,1270.36,1285.09,1282.57,-0.0019609521512111852
2022-10-21,4,20,12,12,low,20,high,1306.97,1252.65,1282.57,1299.75,0.013394980390933878
2022-10-22,5,16,3,3,low,16,high,1320.2,1294.32,1299.76,1313.61,0.010655813380931795
2022-10-23,6,22,12,12,low,22,high,1371.55,1299.44,1313.62,1364.2,0.03850428586653687
2022-10-24,0,0,14,0,high,14,low,1370.6,1324.17,1364.19,1343.61,-0.015085875134695427
2022-10-25,1,18,1,1,low,18,high,1525.16,1334.94,1343.61,1459.74,0.08643133052001706
2022-10-26,2,14,0,0,low,14,high,1594.99,1457.44,1459.74,1566.1,0.07286229054489149
2022-10-27,3,12,23,12,high,23,low,1578.58,1503.2,1566.11,1514.05,-0.033241598610570106
2022-10-28,4,20,12,12,low,20,high,1574.9,1479.82,1514.04,1554.41,0.026663760534728357
2022-10-29,5,17,0,0,low,17,high,1663.06,1547.66,1554.4,1619.55,0.04191327843540907
2022-10-30,6,7,17,7,high,17,low,1640.06,1576.56,1619.55,1590.44,-0.01797412861597351
2022-10-31,0,11,14,11,high,14,low,1635.8,1545.43,1590.45,1572.69,-0.011166650947844943
2022-11-01,1,9,14,9,high,14,low,1612.92,1563.69,1572.69,1578.48,0.0036815901417316596
2022-11-02,2,18,21,18,high,21,low,1621.68,1502.32,1578.47,1518.34,-0.0380938503740965
2022-11-03,3,4,0,0,low,4,high,1559.01,1515.17,1518.33,1531.01,0.008351280683382444
2022-11-04,4,14,0,0,low,14,high,1680.0,1528.4,1531.01,1644.78,0.07431042253153146
2022-11-05,5,0,23,0,high,23,low,1666.97,1621.42,1644.78,1626.98,-0.010822116027675407
2022-11-06,6,8,23,8,high,23,low,1639.02,1564.39,1626.98,1568.29,-0.03607296955094719
2022-11-07,0,19,22,19,high,22,low,1608.04,1545.03,1568.25,1568.1,-9.564801530374044e-05
2022-11-08,1,16,19,16,high,19,low,1579.98,1233.0,1568.09,1334.77,-0.148792480023468
2022-11-09,2,0,23,0,high,23,low,1337.16,1073.53,1334.78,1102.73,-0.17384887397174062
2022-11-10,3,15,0,0,low,15,high,1350.0,1085.93,1102.73,1299.28,0.17823946024865556
2022-11-11,4,13,14,13,high,14,low,1310.0,1201.26,1299.28,1289.28,-0.007696570408226094
2022-11-12,5,0,5,0,high,5,low,1292.16,1238.7,1289.35,1257.25,-0.024896265560165907
2022-11-13,6,4,21,4,high,21,low,1274.23,1200.66,1257.25,1221.49,-0.02844303042354344
2022-11-14,0,13,2,2,low,13,high,1291.2,1171.13,1221.5,1243.28,0.017830536225951675
2022-11-15,1,13,18,13,high,18,low,1291.0,1234.01,1243.29,1253.23,0.007994916712914971
2022-11-16,2,2,15,2,high,15,low,1268.67,1187.06,1253.22,1216.17,-0.029563843539043386
2022-11-17,3,1,9,1,high,9,low,1228.22,1181.05,1216.16,1200.43,-0.012934153400868321
2022-11-18,4,2,0,0,low,2,high,1234.0,1199.18,1200.42,1212.58,0.010129787907565564
2022-11-19,5,22,5,5,low,22,high,1235.0,1197.67,1212.58,1217.67,0.004197661185241506
2022-11-20,6,1,23,1,high,23,low,1227.07,1132.65,1217.67,1142.21,-0.06197081311028442
2022-11-21,0,13,19,13,high,19,low,1146.99,1079.76,1142.21,1107.34,-0.030528536783954015
2022-11-22,1,16,8,8,low,16,high,1146.13,1075.0,1107.34,1139.6,0.029132876984485336
2022-11-23,2,23,1,1,low,23,high,1190.0,1127.75,1139.59,1184.52,0.03942646039365041
2022-11-24,3,7,0,0,low,7,high,1217.71,1180.6,1184.52,1203.73,0.01621753959409722
2022-11-25,4,20,4,4,low,20,high,1207.77,1171.2,1203.72,1199.3,-0.0036719502874423228
2022-11-26,5,14,22,14,high,22,low,1235.66,1196.2,1199.29,1205.6,0.005261446355760447
2022-11-27,6,4,23,4,high,23,low,1223.33,1188.65,1205.61,1193.88,-0.0097295145196206
2022-11-28,0,0,16,0,high,16,low,1199.25,1151.02,1193.88,1167.77,-0.02186986966864352
2022-11-29,1,20,0,0,low,20,high,1228.37,1158.27,1167.77,1216.49,0.041720544285261674
2022-11-30,2,22,0,0,low,22,high,1309.77,1212.5,1216.49,1294.46,0.06409423834145782
2022-12-01,3,13,15,13,high,15,low,1299.9,1262.77,1294.46,1276.41,-0.013944038440739732
2022-12-02,4,13,2,2,low,13,high,1297.18,1265.24,1276.4,1295.59,0.015034471952365893
2022-12-03,5,0,22,0,high,22,low,1309.0,1236.26,1295.58,1240.51,-0.04250605906235041
2022-12-04,6,23,0,0,low,23,high,1287.19,1240.1,1240.5,1279.41,0.031366384522370075
2022-12-05,0,8,19,8,high,19,low,1305.11,1246.61,1279.4,1259.41,-0.015624511489760831
2022-12-06,1,23,19,19,low,23,high,1274.76,1241.56,1259.41,1271.32,0.00945680914078803
2022-12-07,2,0,8,0,high,8,low,1278.69,1218.01,1271.31,1231.18,-0.03156586513124249
2022-12-08,3,18,1,1,low,18,high,1292.58,1222.01,1231.18,1280.18,0.03979921701132247
2022-12-09,4,12,13,12,high,13,low,1296.64,1250.0,1280.18,1263.1,-0.013341873798997136
2022-12-10,5,16,9,9,low,16,high,1283.61,1259.6,1263.11,1266.35,0.00256509725993778
2022-12-11,6,19,22,19,high,22,low,1284.75,1255.85,1266.35,1263.01,-0.002637501480633252
2022-12-12,0,21,4,4,low,21,high,1278.9,1240.03,1263.0,1275.4,0.009817893903404665
2022-12-13,1,13,7,7,low,13,high,1349.0,1255.1,1275.41,1320.69,0.03550230906139984
2022-12-14,2,18,19,18,high,19,low,1352.72,1301.0,1320.69,1307.44,-0.010032634456231213
2022-12-15,3,0,23,0,high,23,low,1311.14,1259.27,1307.45,1266.54,-0.031289915484339806
2022-12-16,4,7,23,7,high,23,low,1280.06,1155.32,1266.53,1166.83,-0.07871901968370275
2022-12-17,5,23,2,2,low,23,high,1190.03,1161.92,1166.82,1187.16,0.01743199465213156
2022-12-18,6,4,9,4,high,9,low,1199.54,1170.32,1187.16,1183.06,-0.003453620405000283
2022-12-19,0,0,22,0,high,22,low,1195.0,1150.51,1183.06,1167.82,-0.012881848765066869
2022-12-20,1,15,0,0,low,15,high,1230.47,1163.12,1167.82,1216.94,0.04206127656659427
2022-12-21,2,14,5,5,low,14,high,1223.39,1203.02,1216.95,1213.78,-0.0026048728378323454
2022-12-22,3,20,17,17,low,20,high,1237.99,1182.54,1213.78,1217.71,0.0032378190446374663
2022-12-24,5,19,6,6,low,19,high,1227.99,1214.69,1219.98,1220.41,0.0003524647945048801
2022-12-25,6,21,14,14,low,21,high,1225.0,1193.18,1220.42,1218.51,-0.0015650349879550334
2022-12-26,0,23,13,13,low,23,high,1231.09,1211.67,1218.52,1228.11,0.007870203197321273
2022-12-27,1,0,17,0,high,17,low,1233.73,1200.58,1228.12,1211.55,-0.013492166889229015
2022-12-28,2,1,21,1,high,21,low,1215.78,1181.06,1211.55,1190.15,-0.01766332384136013
2022-12-29,3,15,2,2,low,15,high,1206.57,1186.77,1190.15,1200.49,0.008687980506658755
2022-12-30,4,0,14,0,high,14,low,1202.15,1181.08,1200.48,1199.99,-0.00040817006530721804
2022-12-31,5,14,5,5,low,14,high,1208.46,1191.66,1199.98,1196.13,-0.003208386806446698
2023-01-01,6,20,4,4,low,20,high,1204.67,1190.57,1196.13,1200.34,0.003519684315249855
2023-01-02,0,10,1,1,low,10,high,1224.29,1193.0,1200.33,1214.0,0.01138853481959134
2023-01-03,1,6,19,6,high,19,low,1219.89,1204.93,1213.99,1214.55,0.0004612888079802514
2023-01-04,2,17,0,0,low,17,high,1272.6,1212.71,1214.56,1256.9,0.03486036095376115
2023-01-05,3,0,14,0,high,14,low,1259.95,1242.81,1256.91,1251.24,-0.004511062844595136
2023-01-06,4,19,13,13,low,19,high,1276.7,1236.0,1251.25,1269.14,0.014297702297702377
2023-01-07,5,1,12,1,high,12,low,1271.09,1261.3,1269.13,1264.07,-0.00398698320897006
2023-01-08,6,23,0,0,low,23,high,1296.0,1257.77,1264.06,1290.16,0.020647754062307278
2023-01-09,0,18,0,0,low,18,high,1344.91,1285.44,1290.15,1320.39,0.023439134984304156
2023-01-10,1,20,2,2,low,20,high,1347.69,1316.8,1320.4,1335.62,0.011526810057558163
2023-01-11,2,23,15,15,low,23,high,1398.0,1321.04,1335.63,1389.39,0.040250668223984175
2023-01-12,3,21,13,13,low,21,high,1438.0,1361.92,1389.4,1415.92,0.019087375845688773
2023-01-13,4,22,1,1,low,22,high,1464.0,1401.03,1415.91,1451.2,0.024923900530400916
2023-01-15,6,17,3,3,low,17,high,1566.66,1516.03,1549.91,1552.52,0.001683968746572317
2023-01-16,0,19,15,15,low,19,high,1604.5,1521.31,1552.52,1576.94,0.015729265967588228
2023-01-17,1,14,1,1,low,14,high,1609.0,1541.15,1576.94,1565.57,-0.007210166525042245
2023-01-18,2,14,16,14,high,16,low,1610.0,1501.39,1565.56,1511.43,-0.034575487365543243
2023-01-19,3,20,0,0,low,20,high,1564.43,1509.15,1511.44,1551.09,0.026233260996136043
2023-01-20,4,22,7,7,low,22,high,1669.9,1542.02,1551.09,1658.52,0.0692609713169449
2023-01-22,6,17,2,2,low,17,high,1663.89,1604.0,1626.65,1627.44,0.0004856607137367987
2023-01-24,1,2,22,2,high,22,low,1641.46,1535.0,1626.28,1555.97,-0.04323363750399682
2023-01-25,2,22,1,1,low,22,high,1641.0,1518.0,1555.97,1611.94,0.03597113054878952
2023-01-26,3,0,16,0,high,16,low,1632.84,1577.43,1611.95,1601.09,-0.006737181674369631
2023-01-27,4,20,1,1,low,20,high,1621.0,1552.54,1601.08,1597.62,-0.0021610412971244638
2023-01-28,5,0,21,0,high,21,low,1606.83,1555.99,1597.61,1572.1,-0.01596760160489731
2023-01-29,6,19,0,0,low,19,high,1660.0,1566.33,1572.1,1644.72,0.04619299026779475
2023-01-30,0,1,19,1,high,19,low,1647.53,1535.0,1644.73,1566.2,-0.04774643862518466
2023-01-31,1,16,6,6,low,16,high,1605.18,1561.63,1566.21,1585.33,0.012207813766991584
